id,date,name
1,2017-01-10 00:00:00,Власти Петербурга согласились передать РПЦ Исаакиевский собор.
2,2017-01-20 00:00:00,Дональд Трамп вступил в должность президента США.
3,2017-02-20 00:00:00,Скоропостижно скончался постпред России при ООН Виталий Чуркин.
4,2017-03-02 00:00:00,Вышел фильм Навального «он Вам не димон»
5,2017-03-14 00:00:00,CNN показала фильм «Владимир Путин — самый влиятельный человек в мире».
6,2017-03-21 00:00:00,Умер Дэвид рокфеллер
7,2017-03-22 00:00:00,теракт произошел в центре Лондона
8,2017-03-22 00:00:00,Юлию Самойлову не пустили на евровидении в Киеве
9,2017-03-23 00:00:00,В центре Киева был убит бывший депутат Госдумы РФ от КПРФ Денис Вороненков
10,2017-03-26 00:00:00,Митинг в москве против коррупции
11,2017-03-31 00:00:00,SpaceX впервые в истории запустила и посадила уже летавшую ракету-носитель
12,2017-04-01 00:00:00,Умер Евгений Евтушенко
13,2017-04-12 00:00:00,Тиллерсон посещает Москву и встречается с Путиным
14,2017-04-19 00:00:00,Премьер Медведев выступает перед депутатами Госдумы с отчетом об итогах работы правительства за 2016 год
15,2017-04-29 00:00:00,Несанкционированные акции в Москве апрель
16,2017-05-02 00:00:00,Путин и Меркель в Сочи
17,2017-05-05 00:00:00,Чемпионат мира по хоккею
18,2017-05-06 00:00:00,Правительство внесло в Госдуму законопроект о курортных сборах
19,2017-05-08 00:00:00,Победа Макрона во Франции
20,2017-05-14 00:00:00,Митинг против Реновации в Москве
21,2017-05-29 00:00:00,Ураган в Москве
22,2017-06-10 00:00:00,Парламентские выборы в Великобритании
23,2017-06-12 00:00:00,Акции протеста 12 июня
24,2017-06-15 00:00:00,Горячая линия Президента Путина
25,2017-06-17 00:00:00,Кубок конфедерации FiFA
26,2017-07-08 00:00:00,Саммит G20
27,2017-08-17 00:00:00,Теракт в Барселоне
28,2017-09-10 00:00:00,Единый день голосования
